"gene","gene_name","dev_default","rank_default","dev_batch","rank_batch","d_diff","nSD_dev","r_diff","nSD_rank"
"ENSG00000007237","GAS7",15837.6706548244,1306,15589.0776192995,1323,0.0159466160600242,-0.0610728324427715,17,0.397806110241729
"ENSG00000007516","BAIAP3",13261.4070106158,1672,13127.9655937822,1667,0.0101646683852413,-0.17137096825344,-5,-0.11700179712992
"ENSG00000008018","PSMB1",16478.0219759547,1205,16469.9535646328,1181,0.000489886707342355,-0.355929951397043,-24,-0.561608626223618
"ENSG00000008056","SYN1",29974.5116715424,203,28951.342202668,206,0.0353410029045261,0.308900199909136,3,0.0702010782779522
"ENSG00000008277","ADAM22",13036.8888887649,1701,12771.3844911887,1713,0.0207890066859508,0.031302036537136,12,0.280804313111809
"ENSG00000008294","SPAG9",15128.7000426259,1427,15020.4758176672,1409,0.00720511295863346,-0.227828318742252,-18,-0.421206469667713
"ENSG00000008710","PKD1",16616.714793038,1182,16451.4542942231,1182,0.0100453428529363,-0.173647257232197,0,0
"ENSG00000008735","MAPK8IP2",20468.194988013,684,20223.3326033083,682,0.0121079146304774,-0.134301030867909,-2,-0.0468007188519682
"ENSG00000008988","RPS20",24092.9904399219,419,24052.0557258536,391,0.00170192163758677,-0.332808816294694,-28,-0.655210063927554
"ENSG00000010256","UQCRC1",17297.64916892,1068,17274.6409886433,1041,0.00133190497515007,-0.339867363064954,-27,-0.63180970450157
"ENSG00000010278","CD9",21585.3263816025,586,21495.8629142333,568,0.00416189234766611,-0.285881690915479,-18,-0.421206469667713
"ENSG00000010282","HHATL",14247.131144597,1559,13893.4383229291,1574,0.0254575443059469,0.120360434400771,15,0.351005391389761
"ENSG00000010322","NISCH",18509.4892764673,904,18343.6072881069,888,0.00904304075829076,-0.19276746702598,-16,-0.374405750815745
"ENSG00000010404","IDS",34920.3158364207,129,34263.0976433574,117,0.0191815170917786,0.000637091860184867,-12,-0.280804313111809
"ENSG00000011009","LYPLA2",11026.8873427805,1924,10993.5746320704,1911,0.00303019825897999,-0.307470220475238,-13,-0.304204672537793
"ENSG00000011295","TTC19",12525.1047263533,1779,12472.9647398481,1760,0.00418024003055818,-0.28553168511583,-19,-0.444606829093697
"ENSG00000011347","SYT7",12451.9225041951,1787,12280.5377502019,1785,0.0139558020568279,-0.0990501863811353,-2,-0.0468007188519682
"ENSG00000011426","ANLN",14847.9313637454,1463,14754.900470372,1448,0.0063050844402671,-0.244997527689819,-15,-0.351005391389761
"ENSG00000012171","SEMA3B",15090.4222027837,1433,14966.2680319337,1422,0.00829559985062136,-0.207025869796404,-11,-0.257403953685825
"ENSG00000012232","EXTL3",10457.1353951991,1971,10332.1446989314,1970,0.0120972653703399,-0.134504179288994,-1,-0.0234003594259841
"ENSG00000013016","EHD3",15168.3392970163,1414,15057.1747466982,1404,0.00738282926167654,-0.224438150233065,-10,-0.234003594259841
"ENSG00000013293","SLC7A14",12549.5892451754,1777,12329.364487762,1776,0.0178618093115857,-0.0245380422222189,-1,-0.0234003594259841
"ENSG00000013297","CLDN11",29577.2977032658,210,29053.0477537757,202,0.0180445767319528,-0.0210515171121198,-8,-0.187202875407873
"ENSG00000013441","CLK1",14882.0616448866,1460,14182.5801958294,1533,0.0493197598320626,0.575563081827316,73,1.70822623809684
"ENSG00000014641","MDH1",32443.2883338797,153,32008.094907357,145,0.0135963551652251,-0.105907101091664,-8,-0.187202875407873
"ENSG00000015592","STMN4",20038.4927630082,735,19643.2013197537,744,0.0201235754203157,0.0186080738384087,9,0.210603234833857
"ENSG00000015676","NUDCD3",15708.9381717017,1332,15575.0615130465,1324,0.00859557816468453,-0.201303395176113,-8,-0.187202875407873
"ENSG00000018189","RUFY3",17938.9000760784,976,17803.2499930265,961,0.00761940000309019,-0.219925257133206,-15,-0.351005391389761
"ENSG00000018236","CNTN1",25116.152397262,360,24372.408318183,375,0.0305158222104842,0.216853632655754,15,0.351005391389761
"ENSG00000018625","ATP1A2",28832.3219198519,230,28454.2256887919,221,0.0132878762963145,-0.111791734798436,-9,-0.210603234833857
"ENSG00000019144","PHLDB1",17407.1088850055,1052,17237.9204273223,1051,0.00981489956381489,-0.17804326124846,-1,-0.0234003594259841
"ENSG00000019505","SYT13",16635.8192521811,1177,16437.3055263089,1183,0.0120770235458871,-0.134890318290611,6,0.140402156555904
"ENSG00000019582","CD74",27611.4676422268,271,26914.0944318485,274,0.0259110783810409,0.129012183918959,3,0.0702010782779522
"ENSG00000020129","NCDN",78127.116181156,23,77150.3465298069,23,0.0126605996639531,-0.123757848481686,0,0
"ENSG00000021300","PLEKHB1",30860.2326459685,184,30278.8214158747,179,0.0192019108705791,0.00102612958766943,-5,-0.11700179712992
"ENSG00000021645","NRXN3",12407.0100181338,1792,12320.5428022224,1778,0.00701813364065445,-0.231395191251005,-14,-0.327605031963777
